ID	Year	Make	Model	Trim	Price	OTD	Mileage	Miles/yr	Owner use	Accidents	Title	Service recs	Seller / location	Distance	Moonroof	Pano roof	Heated seats	Heated wheel	Power seat	JBL	Power liftgate	Expert	Listing URL
c1	2023	Toyota	RAV4	Limited	35999	36878	48280	16093	Rental/Fleet	0	Clean	3	Enterprise Car Sales, Victorville CA	343 mi	Yes	No	Yes	?	Yes	Yes	Yes	4	https://www.enterprisecarsales.com/vehicle/4T3D6RFV8PU137118
c2	2022	Toyota	RAV4	SE	32965	32965	58927	14732	Personal	0	Clean		Manly Auto, Santa Rosa CA	59 mi	Yes	No	Yes	Yes	?	No	Yes	4	https://www.cargurus.com/details/451405435
c3	2024	Toyota	RAV4	XLE	33981	33981	58002	29001	Unknown	0	Clean		Toyota of Oakland (CPO)	15 mi	Yes	No	?	?	?	No	Yes	3	https://www.onetoyota.com/inventory/used-2024-toyota-rav4-hybrid-xle-awd-4d-sport-utility-jtmrwrfv3rd234913/
c4	2023	Toyota	RAV4	SE	34641	34641	45682	15227	Personal	0	Clean		Swickard Toyota 101, Redwood City CA	12 mi	Yes	No	Yes	Yes	?	No	Yes	4	https://www.swickardtoyota101.com/used-Redwood+City-2023-Toyota-RAV4-Hybrid+SE-JTM16RFV1PD545508
c5	2022	Toyota	RAV4	XLE	31998	31998	48000	12000	Personal		Clean		CarMax, ships from Visalia CA	ships	No	No	No	No	Yes	No	No	3	https://www.carmax.com/car/28716574
c6	2024	Toyota	RAV4	XLE	32539	32539	48232	24116	Unknown	0	Clean		CarGurus dealer, St. George UT	ships	?	No	?	?	?	No	?	3	https://www.cargurus.com/details/445940793
c7	2022	Toyota	RAV4	SE	33998	33998	57634	14409	Personal	0	Clean		CarMax, Santa Rosa CA	59 mi	Yes	No	?	?	?	No	?	3	https://www.cargurus.com/details/449242772
c8	2023	Toyota	RAV4	XLE	34998	34998	39646	13215	Personal	0	Clean		CarMax, Colma CA	6 mi	?	No	?	?	?	No	?	3	https://www.cargurus.com/details/450943628
c9	2022	Toyota	RAV4	XLE Premium	34998	35097	54209	13552	Personal	0	Clean		CarMax (Murrieta to Colma)	6 mi (+$99)	Yes	No	?	?	Yes	No	Yes	4	https://www.cargurus.com/details/451257089
c10	2023	Toyota	RAV4	XLE Premium	34590	34590	37802	12601	Lease	1	Clean		Carvana (online)	delivery	Yes	No	No	No	Yes	No	Yes	3	https://www.carvana.com/vehicle/4357083
c11	2025	Toyota	RAV4	XLE	35906	35991	28778	28778	Rental/Fleet	0	Clean		Maita Mazda, Sacramento CA	90 mi	No	No	No	No	Yes	No	No	2	https://www.autotrader.com/cars-for-sale/vehicle/774811030
c12	2024	Toyota	RAV4	SE	34998	34998	47815	23908	Personal	0	Clean	19	CarMax, Fremont CA	25 mi	No	No	Yes	Yes	Yes	No	Yes	4	https://www.carmax.com/car/28773586
c13	2023	Toyota	RAV4	Limited	40499	40621	30395	10132	Personal	0	Clean	26	Capitol Chevrolet/DGDG, San Jose CA	25 mi	Yes	Yes	Yes	Yes	Yes	Yes	Yes	4	https://www.capitolchevysj.com/inventory/used-2023-toyota-rav4-hybrid-limited-awd-sport-utility-jtmd6rfv9pd540554/
c14	2023	Toyota	RAV4	XSE	36990	37112	49033	16344	Lease	0	Clean	2	Capitol Toyota/DGDG, San Jose CA	25 mi	Yes	Yes	Yes	Yes	Yes	No	Yes	4	https://www.capitoltoyota.com/viewdetails/used/4t3e6rfv1pu113635/2023-toyota-rav4-sport-utility?type=finance
c15	2023	Toyota	RAV4	XSE	35995	36816	44600	14867	Lease	0	Clean	8	Pacific Auto Center, Fontana CA	ships	Yes	Yes	Yes	Yes	Yes	Yes	Yes	4	https://www.cargurus.com/details/441336838
c16	2023	Toyota	RAV4	XSE	37998	38147	42030	14010	Personal	0	Clean (prior theft)	6	CarMax, Duarte CA	ships	Yes	Yes	Yes	Yes	Yes	Yes	Yes	2	https://www.carmax.com/car/70022154
c17	2024	Toyota	RAV4	XSE	41998	42297	29683	14842	Personal	0	Clean	7	CarMax, Vancouver WA (ON HOLD)	ships	Yes	Yes	Yes	Yes	Yes	Yes	Yes	3	https://www.carmax.com/car/28733487
